-BEGIN HEADER-
NASA/POWER WCRP/CMIP6 NEX-GDDP Downscaled Daily Data 
Dates (month/day/year): 04/12/2023 through 04/17/2024 
Location: Latitude  40.8056   Longitude -73.9652 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 75.84 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     CMCC_ESM2 SSP370 Precipitation Corrected (mm/day) 
QV2M            CMCC_ESM2 SSP370 Specific Humidity at 2 Meters (g/kg) 
T2M             CMCC_ESM2 SSP370 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,QV2M,T2M
2024,1,17,0.11,1.34,-3.76
2024,1,18,1.14,3.09,1.1
2024,1,19,0.1,2.14,-2.71
2024,1,20,0.49,2.0,-3.0
2024,1,21,7.13,3.57,3.54
2024,1,22,0.0,1.0,-3.85
2024,1,23,0.0,0.95,-6.58
2024,1,24,0.22,2.57,1.06
2024,1,25,0.0,0.95,-3.47
2024,1,26,0.0,0.71,-7.77
2024,1,27,0.0,0.52,-9.46
2024,1,28,9.03,2.85,-2.28
2024,1,29,0.0,1.43,-3.04
2024,1,30,6.91,2.77,-1.21
2024,1,31,32.92,5.96,7.61
2024,2,1,1.86,2.71,1.53
2024,2,2,0.0,0.68,-7.16
2024,2,3,0.0,1.02,-7.86
2024,2,4,0.0,1.15,-5.47
2024,2,5,0.54,1.17,-5.92
2024,2,6,0.01,0.36,-10.69
2024,2,7,1.83,2.28,-0.14
2024,2,8,7.56,3.15,0.54
2024,2,9,0.22,0.8,-7.46
2024,2,10,0.0,0.55,-9.47
2024,2,11,1.02,1.83,-1.79
2024,2,12,0.0,2.04,-0.73
2024,2,13,5.19,4.78,4.41
2024,2,14,9.42,5.18,3.09
2024,2,15,0.0,1.21,-1.26
2024,2,16,7.95,3.68,0.57
2024,2,17,27.58,5.6,0.07
2024,2,18,0.0,0.72,-6.49
2024,2,19,0.0,0.96,-3.95
2024,2,20,0.0,1.27,-1.5
2024,2,21,0.89,3.18,1.75
2024,2,22,9.89,4.38,4.32
2024,2,23,0.0,2.68,1.91
2024,2,24,0.0,1.21,-3.33
2024,2,25,1.35,0.74,-9.31
2024,2,26,20.81,1.65,-7.36
2024,2,27,1.81,0.69,-10.97
2024,2,28,0.0,0.73,-9.43
2024,3,1,0.05,1.14,-6.61
2024,3,2,0.0,1.23,-5.88
2024,3,3,0.0,1.38,-5.33
2024,3,4,0.14,2.38,-1.23
2024,3,5,4.4,2.58,-1.07
2024,3,6,67.48,6.07,4.7
2024,3,7,0.12,3.55,2.82
2024,3,8,0.0,2.28,1.36
2024,3,9,0.0,2.17,1.95
2024,3,10,0.0,2.02,1.24
2024,3,11,0.0,2.31,2.33
2024,3,12,0.35,3.08,3.43
2024,3,13,0.12,2.96,4.81
2024,3,14,0.0,2.67,3.88
2024,3,15,0.0,2.27,3.15
2024,3,16,0.0,2.47,3.62
2024,3,17,0.0,3.37,3.14
2024,3,18,2.22,3.93,4.49
2024,3,19,0.6,3.31,4.21
2024,3,20,0.0,3.35,4.35
2024,3,21,0.01,5.1,8.73
2024,3,22,0.0,5.51,8.68
2024,3,23,15.55,7.61,7.03
2024,3,24,0.86,2.79,4.15
2024,3,25,3.69,4.7,6.25
2024,3,26,0.0,2.87,5.03
2024,3,27,0.0,2.75,4.21
2024,3,28,0.0,5.35,8.14
2024,3,29,0.16,7.29,11.65
2024,3,30,22.98,6.21,7.81
2024,3,31,0.0,3.68,5.11
2024,4,1,1.02,4.37,6.48
2024,4,2,1.39,4.33,7.18
2024,4,3,0.0,3.96,5.95
2024,4,4,0.0,6.01,8.3
2024,4,5,3.74,7.36,11.21
2024,4,6,0.26,3.68,6.38
2024,4,7,0.0,3.57,4.28
2024,4,8,19.9,5.8,6.83
2024,4,9,0.04,5.21,6.73
2024,4,10,0.0,2.86,5.24
2024,4,11,0.0,4.07,7.1
2024,4,12,0.0,5.76,11.92
2024,4,13,0.0,5.18,10.01
2024,4,14,0.0,5.44,9.48
2024,4,15,0.07,7.52,14.13
2024,4,16,3.08,9.28,15.84
2024,4,17,9.75,6.78,10.43
