P_CODE,VDC_NAME,DISTRICT,REGION,Hazard (Intensity),Exposure,Housing,Poverty,Vulnerability,Severity,Severity Normalized,Severity category
C-BAG-24-073,Saldhara,Kavrepalanchok,Central,3.63,0.03,6.46,3.31,4.88,0.78,1.6067,Medium-High
C-BAG-30-012,Dhuwakot,Dhading,Central,1.64,0.05,6.82,5.15,5.99,0.78,1.6063,Medium-High
C-BAG-25-010,Chhampi,Lalitpur,Central,2.13,0.05,8.40,0.82,4.61,0.78,1.6053,Medium-High
C-JAN-21-022,GunsiBhadaure,Ramechhap,Central,1.51,0.05,7.16,6.06,6.61,0.78,1.6053,Medium-High
C-JAN-20-050,Tamajor,Sindhuli,Central,3.39,0.02,5.19,6.55,5.87,0.78,1.6038,Medium-High
C-BAG-28-048,Samari,Nuwakot,Central,1.49,0.05,5.91,5.85,5.88,0.78,1.6003,Medium-High
C-BAG-25-002,Badikhel,Lalitpur,Central,2.81,0.04,8.40,0.82,4.61,0.78,1.5998,Medium-High
C-BAG-24-013,ChalalGaneshsthan,Kavrepalanchok,Central,2.38,0.04,6.46,3.31,4.88,0.78,1.5988,Medium-High
C-BAG-28-013,Chaughada,Nuwakot,Central,1.43,0.06,5.91,5.85,5.88,0.78,1.5979,Medium-High
C-BAG-24-067,Patalekhet,Kavrepalanchok,Central,2.35,0.04,6.46,3.31,4.88,0.78,1.5963,Medium-High
C-BAG-26-006,Chitapol,Bhaktapur,Central,1.79,0.06,8.23,0.89,4.56,0.78,1.5963,Medium-High
C-NAR-31-041,SisneriMahadevsthan,Makwanpur,Central,3.27,0.03,4.99,3.64,4.32,0.78,1.5939,Medium-High
C-BAG-25-037,Sidhdipur,Lalitpur,Central,1.61,0.06,8.40,0.82,4.61,0.78,1.5930,Medium-High
C-JAN-19-027,Dhungrekhola,Sarlahi,Central,0.54,0.14,4.21,8.35,6.28,0.78,1.5928,Medium-High
C-BAG-23-017,Fatakshila,Sindhupalchok,Central,1.58,0.04,6.85,6.57,6.71,0.78,1.5898,Medium-High
W-GAN-36-004,Aarupokhari,Gorkha,Western,1.70,0.05,6.44,5.21,5.83,0.77,1.5881,Medium-High
C-BAG-28-022,Gerkhu,Nuwakot,Central,1.20,0.07,5.91,5.85,5.88,0.77,1.5866,Medium-High
C-BAG-30-040,Salyankot,Dhading,Central,1.53,0.05,6.82,5.15,5.99,0.77,1.5857,Medium-High
C-JAN-21-044,Rakathum,Ramechhap,Central,1.98,0.04,7.16,6.06,6.61,0.77,1.5838,Medium-High
C-BAG-24-037,Kalati Bhumidanda,Kavrepalanchok,Central,2.53,0.04,6.46,3.31,4.88,0.77,1.5835,Medium-High
C-NAR-31-036,Raigaun,Makwanpur,Central,1.00,0.11,4.99,3.64,4.32,0.77,1.5829,Medium-High
C-BAG-24-083,SikharAmbote,Kavrepalanchok,Central,2.47,0.04,6.46,3.31,4.88,0.77,1.5827,Medium-High
C-BAG-24-036,JyamdiMandan,Kavrepalanchok,Central,1.88,0.05,6.46,3.31,4.88,0.77,1.5809,Medium-High
C-BAG-30-001,Aginchok,Dhading,Central,2.07,0.04,6.82,5.15,5.99,0.77,1.5780,Medium-High
C-BAG-24-038,KanpurKalapani,Kavrepalanchok,Central,2.07,0.04,6.46,3.31,4.88,0.77,1.5764,Medium-High
W-GAN-36-053,Saurpani,Gorkha,Western,1.27,0.06,6.44,5.21,5.83,0.77,1.5744,Medium-High
C-BAG-27-054,Suntol,Kathmandu,Central,1.71,0.05,8.86,1.82,5.34,0.77,1.5740,Medium-High
W-GAN-36-063,Taple,Gorkha,Western,1.68,0.05,6.44,5.21,5.83,0.77,1.5736,Medium-High
W-GAN-36-002,AaruArbang,Gorkha,Western,1.67,0.05,6.44,5.21,5.83,0.77,1.5695,Medium-High
C-BAG-27-046,Ramkot,Kathmandu,Central,0.93,0.09,8.86,1.82,5.34,0.76,1.5664,Medium-High
C-NAR-31-027,Kulekhani,Makwanpur,Central,3.39,0.03,4.99,3.64,4.32,0.76,1.5659,Medium-High
C-BAG-24-071,RaviOpi,Kavrepalanchok,Central,2.06,0.04,6.46,3.31,4.88,0.76,1.5648,Medium-High
C-BAG-28-045,Ratmate,Nuwakot,Central,1.94,0.04,5.91,5.85,5.88,0.76,1.5629,Medium-High
C-JAN-21-028,Khaniyapani,Ramechhap,Central,1.61,0.04,7.16,6.06,6.61,0.76,1.5625,Medium-High
C-BAG-24-030,GairiBisouna Deupur,Kavrepalanchok,Central,1.60,0.06,6.46,3.31,4.88,0.76,1.5496,Medium-High
C-NAR-33-068,Nijgadh,Bara,Central,0.35,0.20,4.93,7.20,6.06,0.76,1.5494,Medium-High
C-BAG-25-034,Pyutar,Lalitpur,Central,4.43,0.02,8.40,0.82,4.61,0.76,1.5487,Medium-High
C-BAG-27-019,Gagalphedi,Kathmandu,Central,1.42,0.06,8.86,1.82,5.34,0.76,1.5486,Medium-High
C-JAN-21-006,Bhirpani,Ramechhap,Central,1.95,0.03,7.16,6.06,6.61,0.75,1.5477,Medium-High
C-NAR-35-015,Gunjanagar,Chitawan,Central,0.70,0.15,5.38,2.53,3.96,0.75,1.5465,Medium-High
C-BAG-28-014,Chauthe,Nuwakot,Central,2.01,0.04,5.91,5.85,5.88,0.75,1.5451,Medium-High
W-GAN-36-023,Gaikhur,Gorkha,Western,1.43,0.05,6.44,5.21,5.83,0.75,1.5440,Medium-High
W-GAN-36-017,Darbhung,Gorkha,Western,2.10,0.03,6.44,5.21,5.83,0.75,1.5405,Medium-High
C-BAG-24-081,SarasyunKhark,Kavrepalanchok,Central,1.58,0.05,6.46,3.31,4.88,0.75,1.5353,Medium-High
C-NAR-31-030,Manthali,Makwanpur,Central,3.39,0.03,4.99,3.64,4.32,0.75,1.5288,Medium-High
W-GAN-36-019,Dhawa,Gorkha,Western,1.94,0.04,6.44,5.21,5.83,0.75,1.5287,Medium-High
W-GAN-36-046,Nareshwor,Gorkha,Western,1.88,0.04,6.44,5.21,5.83,0.75,1.5286,Medium-High
C-BAG-24-054,MahankalChaur,Kavrepalanchok,Central,2.38,0.04,6.46,3.31,4.88,0.75,1.5284,Medium-High
C-BAG-23-046,Mankha,Sindhupalchok,Central,0.77,0.08,6.85,6.57,6.71,0.74,1.5274,Medium-High
C-BAG-27-059,TokhaSarswoti,Kathmandu,Central,1.46,0.05,8.86,1.82,5.34,0.74,1.5244,Medium-High
C-BAG-24-057,Mangaltar,Kavrepalanchok,Central,2.19,0.04,6.46,3.31,4.88,0.74,1.5240,Medium-High
C-NAR-35-034,Saradanagar,Chitawan,Central,0.88,0.12,5.38,2.53,3.96,0.74,1.5236,Medium-High
C-BAG-26-004,Changunarayan,Bhaktapur,Central,1.40,0.06,8.23,0.89,4.56,0.74,1.5201,Medium-High
C-BAG-24-029,Foksingtar,Kavrepalanchok,Central,3.48,0.02,6.46,3.31,4.88,0.74,1.5197,Medium-High
W-GAN-36-005,Asrang,Gorkha,Western,2.00,0.03,6.44,5.21,5.83,0.74,1.5191,Medium-High
C-JAN-21-027,Khadadevi,Ramechhap,Central,1.53,0.04,7.16,6.06,6.61,0.74,1.5190,Medium-High
W-GAN-36-059,Takukot,Gorkha,Western,1.76,0.04,6.44,5.21,5.83,0.74,1.5189,Medium-High
C-NAR-35-023,Kumroj,Chitawan,Central,1.24,0.08,5.38,2.53,3.96,0.74,1.5175,Medium-High
W-GAN-38-013,Chhimkeshwari,Tanahu,Western,3.98,0.02,6.43,4.04,5.24,0.74,1.5153,Medium-High
C-BAG-23-003,Bansbari,Sindhupalchok,Central,1.16,0.05,6.85,6.57,6.71,0.74,1.5141,Medium-High
C-JAN-20-047,Sitalpati,Sindhuli,Central,1.65,0.04,5.19,6.55,5.87,0.74,1.5138,Medium-High
C-BAG-23-009,Bhimtar,Sindhupalchok,Central,1.28,0.05,6.85,6.57,6.71,0.74,1.5106,Medium-High
C-BAG-25-017,Gimdi,Lalitpur,Central,3.67,0.02,8.40,0.82,4.61,0.74,1.5097,Medium-High
C-BAG-27-034,Lapsephedi,Kathmandu,Central,1.29,0.06,8.86,1.82,5.34,0.73,1.5071,Medium-High
C-BAG-24-004,BaluwapatiDeupur,Kavrepalanchok,Central,1.31,0.06,6.46,3.31,4.88,0.73,1.5056,Medium-High
