date,temperature_2m_mean
2020-09-03 18:15:00+00:00,22.253584
2020-09-04 18:15:00+00:00,22.334831
2020-09-05 18:15:00+00:00,22.284836
2020-09-06 18:15:00+00:00,22.097334
2020-09-07 18:15:00+00:00,22.064001
2020-09-08 18:15:00+00:00,21.89525
2020-09-09 18:15:00+00:00,22.151497
2020-09-10 18:15:00+00:00,22.134834
2020-09-11 18:15:00+00:00,22.36817
2020-09-12 18:15:00+00:00,22.247335
2020-09-13 18:15:00+00:00,21.526499
2020-09-14 18:15:00+00:00,21.332752
2020-09-15 18:15:00+00:00,21.766085
2020-09-16 18:15:00+00:00,22.032751
2020-09-17 18:15:00+00:00,21.584833
2020-09-18 18:15:00+00:00,21.686922
2020-09-19 18:15:00+00:00,23.439003
2020-09-20 18:15:00+00:00,22.514
2020-09-21 18:15:00+00:00,21.807753
2020-09-22 18:15:00+00:00,21.161919
2020-09-23 18:15:00+00:00,20.591084
2020-09-24 18:15:00+00:00,21.180666
2020-09-25 18:15:00+00:00,20.741083
2020-09-26 18:15:00+00:00,20.89525
2020-09-27 18:15:00+00:00,21.361917
2020-09-28 18:15:00+00:00,21.455667
2020-09-29 18:15:00+00:00,21.276503
2020-09-30 18:15:00+00:00,21.355667
2020-10-01 18:15:00+00:00,21.261919
2020-10-02 18:15:00+00:00,21.416084
2020-10-03 18:15:00+00:00,21.42025
2020-10-04 18:15:00+00:00,21.274416
2020-10-05 18:15:00+00:00,20.86817
2020-10-06 18:15:00+00:00,20.891085
2020-10-07 18:15:00+00:00,21.220251
2020-10-08 18:15:00+00:00,20.920248
2020-10-09 18:15:00+00:00,21.11192
2020-10-10 18:15:00+00:00,21.420252
2020-10-11 18:15:00+00:00,21.091082
2020-10-12 18:15:00+00:00,20.88483
2020-10-13 18:15:00+00:00,20.589
2020-10-14 18:15:00+00:00,20.83275
2020-10-15 18:15:00+00:00,20.743166
2020-10-16 18:15:00+00:00,20.782751
2020-10-17 18:15:00+00:00,20.553587
2020-10-18 18:15:00+00:00,19.622334
2020-10-19 18:15:00+00:00,19.193169
2020-10-20 18:15:00+00:00,19.405666
2020-10-21 18:15:00+00:00,19.049417
2020-10-22 18:15:00+00:00,18.874416
2020-10-23 18:15:00+00:00,18.943167
2020-10-24 18:15:00+00:00,19.016085
2020-10-25 18:15:00+00:00,18.520248
2020-10-26 18:15:00+00:00,18.249416
2020-10-27 18:15:00+00:00,18.197336
2020-10-28 18:15:00+00:00,18.709833
2020-10-29 18:15:00+00:00,19.918165
2020-10-30 18:15:00+00:00,20.589003
2020-10-31 18:15:00+00:00,20.214
2020-11-01 18:15:00+00:00,19.053583
2020-11-02 18:15:00+00:00,17.791084
2020-11-03 18:15:00+00:00,16.693167
